Iteration: 118, gbestFitness: 995873, vehicles: 95
Iteration: 119, gbestFitness: 995873, vehicles: 95
Iteration: 120, gbestFitness: 995873, vehicles: 95
Iteration: 121, gbestFitness: 995873, vehicles: 95
Iteration: 122, gbestFitness: 995873, vehicles: 95
Iteration: 123, gbestFitness: 995873, vehicles: 95
Iteration: 124, gbestFitness: 995873, vehicles: 95
Iteration: 125, gbestFitness: 995873, vehicles: 95
Iteration: 126, gbestFitness: 995873, vehicles: 95
Iteration: 127, gbestFitness: 995873, vehicles: 95
Iteration: 128, gbestFitness: 995873, vehicles: 95
Iteration: 129, gbestFitness: 995873, vehicles: 95
Iteration: 130, gbestFitness: 995873, vehicles: 95
Iteration: 131, gbestFitness: 995873, vehicles: 95
Iteration: 132, gbestFitness: 995873, vehicles: 95
Iteration: 133, gbestFitness: 995873, vehicles: 95
Iteration: 134, gbestFitness: 995873, vehicles: 95
Iteration: 135, gbestFitness: 995873, vehicles: 95
Iteration: 136, gbestFitness: 995873, vehicles: 95
Iteration: 137, gbestFitness: 995873, vehicles: 95
Iteration: 138, gbestFitness: 995873, vehicles: 95
Iteration: 139, gbestFitness: 995873, vehicles: 95
Iteration: 140, gbestFitness: 995873, vehicles: 95
Iteration: 141, gbestFitness: 995873, vehicles: 95
Iteration: 142, gbestFitness: 995873, vehicles: 95
Iteration: 143, gbestFitness: 995873, vehicles: 95
Iteration: 144, gbestFitness: 995873, vehicles: 95
Iteration: 145, gbestFitness: 995873, vehicles: 95
Iteration: 146, gbestFitness: 995873, vehicles: 95
Iteration: 147, gbestFitness: 995873, vehicles: 95
Iteration: 148, gbestFitness: 995873, vehicles: 95
Iteration: 149, gbestFitness: 995873, vehicles: 95
Iteration: 150, gbestFitness: 995873, vehicles: 95
Iteration: 151, gbestFitness: 995873, vehicles: 95
Iteration: 152, gbestFitness: 995873, vehicles: 95
Iteration: 153, gbestFitness: 995873, vehicles: 95
Iteration: 154, gbestFitness: 995873, vehicles: 95
Iteration: 155, gbestFitness: 995873, vehicles: 95
Iteration: 156, gbestFitness: 995873, vehicles: 95
Iteration: 157, gbestFitness: 995873, vehicles: 95
Iteration: 158, gbestFitness: 995873, vehicles: 95
Iteration: 159, gbestFitness: 995873, vehicles: 95
Iteration: 160, gbestFitness: 995873, vehicles: 95
Iteration: 161, gbestFitness: 995873, vehicles: 95
Iteration: 162, gbestFitness: 995873, vehicles: 95
Iteration: 163, gbestFitness: 995873, vehicles: 95
Iteration: 164, gbestFitness: 995873, vehicles: 95
Iteration: 165, gbestFitness: 995873, vehicles: 95
Iteration: 166, gbestFitness: 995873, vehicles: 95
Iteration: 167, gbestFitness: 995873, vehicles: 95
Iteration: 168, gbestFitness: 995873, vehicles: 95
Iteration: 169, gbestFitness: 995873, vehicles: 95
Iteration: 170, gbestFitness: 995873, vehicles: 95
Iteration: 171, gbestFitness: 995873, vehicles: 95
Iteration: 172, gbestFitness: 995873, vehicles: 95
Iteration: 173, gbestFitness: 995873, vehicles: 95
Iteration: 174, gbestFitness: 995873, vehicles: 95
Iteration: 175, gbestFitness: 995873, vehicles: 95
Iteration: 176, gbestFitness: 995873, vehicles: 95
Iteration: 177, gbestFitness: 995873, vehicles: 95
Iteration: 178, gbestFitness: 995873, vehicles: 95
Iteration: 179, gbestFitness: 995873, vehicles: 95
Iteration: 180, gbestFitness: 995873, vehicles: 95
Iteration: 181, gbestFitness: 995873, vehicles: 95
Iteration: 182, gbestFitness: 995873, vehicles: 95
Iteration: 183, gbestFitness: 995873, vehicles: 95
Iteration: 184, gbestFitness: 995873, vehicles: 95
Iteration: 185, gbestFitness: 995873, vehicles: 95
Iteration: 186, gbestFitness: 995873, vehicles: 95
Iteration: 187, gbestFitness: 995873, vehicles: 95
Iteration: 188, gbestFitness: 995873, vehicles: 95
Iteration: 189, gbestFitness: 995873, vehicles: 95
Iteration: 190, gbestFitness: 995873, vehicles: 95
Iteration: 191, gbestFitness: 995873, vehicles: 95
Iteration: 192, gbestFitness: 995873, vehicles: 95
Iteration: 193, gbestFitness: 995873, vehicles: 95
Iteration: 194, gbestFitness: 995873, vehicles: 95
Iteration: 195, gbestFitness: 995873, vehicles: 95
Iteration: 196, gbestFitness: 995873, vehicles: 95
Iteration: 197, gbestFitness: 995873, vehicles: 95
Iteration: 198, gbestFitness: 995873, vehicles: 95
Iteration: 199, gbestFitness: 995873, vehicles: 95
Iteration: 200, gbestFitness: 995873, vehicles: 95
Iteration: 201, gbestFitness: 995873, vehicles: 95
Iteration: 202, gbestFitness: 995873, vehicles: 95
Iteration: 203, gbestFitness: 995873, vehicles: 95
Iteration: 204, gbestFitness: 995873, vehicles: 95
Iteration: 205, gbestFitness: 995873, vehicles: 95
Iteration: 206, gbestFitness: 995873, vehicles: 95
